ErrorValue_141,AccuracyValue_141,ErrorValue_101,AccuracyValue_101,ErrorValue_61,AccuracyValue_61,ErrorValue_52,AccuracyValue_52,ErrorValue_51,AccuracyValue_51,ErrorValue_40,AccuracyValue_40,ErrorValue_31,AccuracyValue_31,ErrorValue_20,AccuracyValue_20,ErrorValue_2,AccuracyValue_2,ErrorValue_1,AccuracyValue_1
21,1.8674334e-30,5,2.102458e-29,93,1.3784854e-17,62,9.015779e-24,61,2.9666072e-22,62,1.5924981e-22,5,2.659906e-29,5,2.605853e-29,62,5.2832734e-22,12,1.2427196e-16
13,1.2381934e-30,8,1.8253097e-29,19,6.1354538e-18,61,8.419674e-24,62,2.321333e-22,61,6.732061e-23,8,1.9328893e-29,8,1.3730624e-29,24,5.1193963e-22,69,9.649703e-17
61,8.6395e-31,92,8.152957e-30,26,3.3827146e-18,8,2.932941e-24,24,1.2810329e-22,24,2.109845e-23,92,1.1212424e-29,92,6.550686e-30,5,4.3149455e-22,59,2.0337284e-17
16,4.0679372e-32,62,2.7557216e-30,71,8.704413e-19,24,1.5942961e-24,8,5.114777e-24,8,2.103753e-23,62,3.1811217e-30,62,2.2098288e-30,8,8.108254e-23,4,8.457939e-19
4,2.903389e-32,54,4.5061485e-31,38,8.6061556e-19,75,2.8676768e-25,32,1.1213195e-24,32,4.4172967e-25,54,3.2816868e-31,54,4.596076e-31,32,2.0536558e-24,2,7.51046e-19
71,2.4000625e-32,1,7.9887337e-32,47,2.0688208e-19,32,2.6659718e-26,75,3.8655498e-25,75,1.7719888e-25,75,1.0408069e-31,75,8.039727e-32,75,1.22237e-25,34,3.9984797e-19
87,1.6776498e-32,75,7.286599e-32,87,1.9059379e-19,31,4.5940467e-27,4,8.042032e-26,31,2.8461944e-26,1,6.669796e-32,1,7.498081e-32,31,8.3454476e-26,14,5.4542945e-20
80,1.2655259e-32,65,4.1757953e-32,7,1.3224325e-19,4,2.690377e-27,31,2.207873e-26,4,5.9209423e-27,65,5.626439e-32,65,4.7196815e-32,4,2.9629184e-26,13,1.5884655e-20
15,1.06095815e-32,74,1.4421586e-32,74,1.1804074e-19,65,2.2132463e-27,54,6.788335e-27,65,2.7448523e-27,74,1.5168563e-32,74,1.5742273e-32,54,5.5191166e-27,47,1.520908e-20
74,6.213304e-33,4,4.592531e-33,24,7.306983e-20,1,1.654297e-27,7,6.245649e-27,54,1.1274395e-27,4,3.5417465e-33,4,4.115525e-33,7,3.5366772e-27,91,1.1342597e-20
