ErrorValue_1,AccuracyValue_1,ErrorValue_2,AccuracyValue_2,ErrorValue_3,AccuracyValue_3,ErrorValue_4,AccuracyValue_4,ErrorValue_5,AccuracyValue_5,ErrorValue_6,AccuracyValue_6,ErrorValue_7,AccuracyValue_7,ErrorValue_8,AccuracyValue_8,ErrorValue_9,AccuracyValue_9,ErrorValue_10,AccuracyValue_10,ErrorValue_11,AccuracyValue_11,ErrorValue_12,AccuracyValue_12,ErrorValue_13,AccuracyValue_13,ErrorValue_14,AccuracyValue_14,ErrorValue_15,AccuracyValue_15,ErrorValue_16,AccuracyValue_16,ErrorValue_17,AccuracyValue_17,ErrorValue_18,AccuracyValue_18,ErrorValue_19,AccuracyValue_19,ErrorValue_20,AccuracyValue_20,ErrorValue_21,AccuracyValue_21,ErrorValue_22,AccuracyValue_22,ErrorValue_23,AccuracyValue_23,ErrorValue_24,AccuracyValue_24,ErrorValue_25,AccuracyValue_25,ErrorValue_26,AccuracyValue_26,ErrorValue_27,AccuracyValue_27,ErrorValue_28,AccuracyValue_28,ErrorValue_29,AccuracyValue_29,ErrorValue_30,AccuracyValue_30,ErrorValue_31,AccuracyValue_31,ErrorValue_32,AccuracyValue_32,ErrorValue_33,AccuracyValue_33,ErrorValue_34,AccuracyValue_34,ErrorValue_35,AccuracyValue_35,ErrorValue_36,AccuracyValue_36,ErrorValue_37,AccuracyValue_37,ErrorValue_38,AccuracyValue_38,ErrorValue_39,AccuracyValue_39,ErrorValue_40,AccuracyValue_40,ErrorValue_41,AccuracyValue_41,ErrorValue_42,AccuracyValue_42,ErrorValue_43,AccuracyValue_43,ErrorValue_44,AccuracyValue_44,ErrorValue_45,AccuracyValue_45,ErrorValue_46,AccuracyValue_46,ErrorValue_47,AccuracyValue_47,ErrorValue_48,AccuracyValue_48,ErrorValue_49,AccuracyValue_49,ErrorValue_50,AccuracyValue_50,ErrorValue_51,AccuracyValue_51,ErrorValue_52,AccuracyValue_52,ErrorValue_53,AccuracyValue_53,ErrorValue_54,AccuracyValue_54,ErrorValue_55,AccuracyValue_55,ErrorValue_56,AccuracyValue_56,ErrorValue_57,AccuracyValue_57,ErrorValue_58,AccuracyValue_58,ErrorValue_59,AccuracyValue_59,ErrorValue_60,AccuracyValue_60,ErrorValue_61,AccuracyValue_61,ErrorValue_62,AccuracyValue_62,ErrorValue_63,AccuracyValue_63,ErrorValue_64,AccuracyValue_64,ErrorValue_65,AccuracyValue_65,ErrorValue_66,AccuracyValue_66,ErrorValue_67,AccuracyValue_67,ErrorValue_68,AccuracyValue_68,ErrorValue_69,AccuracyValue_69,ErrorValue_70,AccuracyValue_70,ErrorValue_71,AccuracyValue_71,ErrorValue_72,AccuracyValue_72,ErrorValue_73,AccuracyValue_73,ErrorValue_74,AccuracyValue_74,ErrorValue_75,AccuracyValue_75,ErrorValue_76,AccuracyValue_76,ErrorValue_77,AccuracyValue_77,ErrorValue_78,AccuracyValue_78,ErrorValue_79,AccuracyValue_79,ErrorValue_80,AccuracyValue_80,ErrorValue_81,AccuracyValue_81,ErrorValue_82,AccuracyValue_82,ErrorValue_83,AccuracyValue_83,ErrorValue_84,AccuracyValue_84,ErrorValue_85,AccuracyValue_85,ErrorValue_86,AccuracyValue_86,ErrorValue_87,AccuracyValue_87,ErrorValue_88,AccuracyValue_88,ErrorValue_89,AccuracyValue_89,ErrorValue_90,AccuracyValue_90,ErrorValue_91,AccuracyValue_91,ErrorValue_92,AccuracyValue_92,ErrorValue_93,AccuracyValue_93,ErrorValue_94,AccuracyValue_94,ErrorValue_95,AccuracyValue_95
42,8.4586916e-19,29,8.094685e-14,15,1.5489938e-10,84,3.4656698e-12,4,1.3835379e-19,5,2.956519e-11,6,3.102443e-06,2,7.0348144e-13,79,3.3082857e-14,41,3.873341e-11,42,5.638534e-14,33,3.789202e-11,43,2.7747796e-14,15,7.292702e-13,10,2.1377802e-14,52,1.9671828e-13,56,3.9673878e-09,61,2.211721e-10,6,2.0743335e-14,15,1.033449e-14,69,3.3676345e-06,19,6.1695937e-16,58,7.386314e-11,81,1.1674896e-06,92,3.4342862e-11,14,4.144358e-10,3,3.426385e-11,15,3.641776e-17,13,4.528594e-12,16,1.6100156e-08,76,1.8342417e-08,2,1.1253124e-09,19,1.2162259e-10,43,2.408337e-10,22,1.3212323e-06,21,2.756605e-11,16,6.37567e-11,40,1.1970238e-11,9,3.9446793e-10,57,2.2394176e-12,39,1.5870135e-14,33,3.411007e-11,13,2.0513391e-10,7,5.2511672e-11,50,9.785205e-10,63,3.2904296e-07,21,1.258613e-13,90,2.1821405e-09,29,6.2158584e-08,25,4.964577e-10,39,8.788392e-08,37,1.2915428e-13,66,2.5646856e-09,39,2.1128294e-12,6,1.7713535e-15,48,6.8049434e-11,6,1.3648946e-08,77,2.710728e-07,73,3.5507949e-12,69,8.501313e-07,26,5.8141087e-12,8,2.4294922e-09,16,5.550771e-11,87,3.3266073e-07,42,2.8192276e-10,22,8.353477e-13,38,1.2000883e-11,14,2.404139e-11,29,3.5415018e-11,59,7.2287044e-11,61,1.3564377e-13,87,9.606288e-10,20,3.4529556e-11,44,7.850473e-12,7,9.576763e-12,22,2.8163125e-08,23,1.1174051e-07,30,3.9371948e-13,65,1.2887073e-10,55,1.891978e-10,54,3.5564207e-10,19,1.6338502e-14,56,3.172366e-08,47,6.931225e-12,87,5.7331518e-11,21,3.5189338e-08,80,5.3904223e-09,91,4.1412438e-08,88,1.7877875e-09,66,4.1449358e-10,21,9.089062e-10,43,8.76716e-10,54,1.4148519e-08,27,4.699872e-10,44,3.315132e-09
34,1.6678333e-20,19,6.329606e-14,82,4.43977e-11,3,1.331436e-12,22,4.6069863e-20,66,2.1028018e-11,94,2.192115e-07,41,4.881916e-13,19,1.2698334e-14,66,1.2981429e-13,87,3.6569263e-15,68,2.899353e-11,91,3.4790155e-16,2,1.415568e-13,18,1.499576e-14,55,4.109322e-14,83,2.0213367e-09,66,1.0672218e-10,67,2.296182e-15,67,7.047127e-17,28,2.185841e-06,2,4.1509723e-17,14,4.618562e-11,67,8.946384e-07,74,7.1347923e-12,25,2.5996738e-10,15,1.1205722e-11,59,1.0502749e-17,26,4.2232316e-12,27,1.5161582e-08,86,1.22153505e-08,23,6.427779e-10,36,6.363722e-11,13,3.7803333e-11,67,9.0085945e-07,46,8.473156e-12,41,3.3225197e-11,92,1.11171706e-11,42,3.8278528e-10,15,7.999951e-13,65,1.2260449e-14,16,2.3814301e-11,14,1.1595141e-10,91,1.0760355e-11,48,4.0304024e-11,8,2.4749295e-07,33,7.409286e-14,10,1.1233103e-09,34,5.6707442e-08,66,4.610579e-10,93,2.1517746e-08,87,7.010782e-14,83,2.0065893e-09,73,1.9277715e-12,16,2.8381062e-16,84,6.3353836e-11,69,4.193678e-09,90,4.3347164e-08,52,2.8013926e-12,46,6.876719e-07,57,1.2668957e-12,6,1.4148172e-09,1,2.7702963e-11,72,3.0465097e-07,20,8.0070006e-11,29,6.565454e-13,22,5.8196083e-12,52,6.2967627e-13,57,2.9568573e-11,50,6.863504e-11,38,8.85281e-14,23,5.130316e-10,87,1.7276068e-11,40,3.3557601e-12,25,2.838969e-12,60,2.133285e-08,27,1.8254259e-08,90,2.991052e-13,73,8.5008584e-11,20,1.8818935e-10,94,3.09596e-10,38,3.9350783e-15,75,3.7303804e-09,43,2.6357185e-12,56,4.9199388e-11,36,3.3806998e-08,39,1.3908115e-09,61,3.5735724e-08,66,3.0385996e-10,25,3.2155864e-10,69,6.98518e-10,29,6.2602795e-10,11,2.5134939e-10,50,2.92559e-10,40,4.7463056e-10
5,1.262789e-21,9,3.4732766e-14,58,4.2338976e-11,63,8.491143e-13,33,3.1379307e-20,16,1.0849367e-11,29,4.1679623e-08,60,4.6402313e-13,67,6.599694e-15,82,7.356076e-14,59,3.4742816e-15,13,1.8186857e-11,29,2.8788522e-16,9,3.1171084e-14,9,1.4599236e-14,85,3.6320573e-14,59,6.9758993e-10,14,2.6842174e-11,41,1.1112595e-15,11,5.1060312e-18,6,2.0844236e-06,21,7.190204e-18,66,3.597283e-11,53,6.179852e-07,13,2.3461096e-12,38,2.3108824e-11,30,7.918857e-12,5,1.8113847e-18,30,1.1505552e-12,6,3.928645e-10,35,1.1505461e-08,38,5.0203597e-10,45,8.003219e-12,5,3.3186284e-11,13,6.532165e-07,20,7.984366e-12,85,2.702657e-12,69,3.0396941e-12,3,2.025271e-10,27,6.717103e-14,15,6.0938375e-15,80,2.0252225e-11,91,5.9006765e-13,43,2.017146e-12,85,2.4517161e-11,51,3.9475758e-08,43,3.639541e-14,85,7.629747e-10,26,4.7522935e-08,17,1.8036012e-10,76,1.7542453e-08,84,2.1079995e-14,25,1.2999004e-09,27,8.24963e-13,4,1.3464846e-16,54,6.297914e-11,3,1.5090603e-09,62,3.8440177e-08,90,1.7913462e-12,31,6.7165615e-07,66,1.0611832e-12,54,1.1902803e-09,5,1.3273684e-11,45,6.451112e-08,72,3.9485182e-11,27,2.4247672e-13,6,8.472565e-13,45,3.5862548e-13,49,1.34452284e-11,73,3.965032e-11,16,6.1240746e-14,80,1.7358175e-10,42,1.4520214e-11,34,1.089782e-12,30,1.9279047e-13,55,5.581654e-09,59,9.0950625e-09,52,1.4054412e-13,53,9.471404e-12,19,1.3413934e-10,3,1.4003165e-10,65,1.7763331e-15,89,1.5362482e-09,27,1.8773932e-12,33,4.438813e-11,31,3.0136317e-08,10,5.676589e-10,84,3.0626143e-08,23,7.263127e-11,59,2.3519e-10,5,6.252179e-10,18,1.4548666e-10,42,1.1100969e-10,25,6.981633e-11,17,5.4084685e-11
38,3.568211e-22,26,6.531348e-15,9,5.168614e-12,40,7.437519e-13,1,1.87408e-20,40,4.5156214e-12,84,3.6757037e-08,38,3.1640128e-13,33,3.42679e-15,15,2.492906e-15,85,2.2307576e-15,14,4.0177106e-12,3,6.534533e-17,50,3.006979e-16,40,8.90284e-16,42,2.9778067e-14,70,1.7236718e-10,28,1.8127886e-11,2,3.9920673e-17,1,1.3037756e-18,46,1.2622188e-06,1,2.5192952e-18,39,3.1330844e-11,51,5.963147e-07,26,1.3191848e-12,91,1.1385127e-11,70,2.977688e-12,3,1.3928479e-18,7,1.4155035e-13,57,1.3098586e-10,2,9.3733235e-09,6,6.681064e-11,11,7.556411e-12,2,1.4332388e-11,2,5.4686865e-07,85,2.277989e-12,87,8.043737e-15,24,1.4779967e-12,64,1.8461559e-10,34,2.9336397e-14,87,3.1557647e-16,72,9.833279e-12,68,1.1120252e-13,5,3.3830472e-13,12,1.695875e-11,24,1.8876014e-08,3,2.4766739e-14,70,6.823443e-10,92,4.442401e-08,78,1.4514114e-10,8,1.6135209e-08,11,1.627911e-14,94,1.6240118e-10,19,4.89261e-14,28,4.8258455e-17,44,5.9308725e-11,92,8.684734e-10,53,3.423952e-08,71,8.2740965e-13,2,1.8237868e-07,24,8.5485704e-13,18,6.296273e-10,21,4.01103e-12,54,2.3771364e-08,23,1.8507989e-11,41,1.0659741e-14,31,9.64825e-14,12,3.584559e-13,6,1.2919254e-11,14,2.6771906e-11,57,5.4654408e-14,19,1.3118868e-10,77,3.6139741e-12,95,3.005152e-13,3,1.2028531e-14,34,2.7635039e-09,94,7.4953626e-09,47,4.4081516e-14,72,3.816209e-12,11,1.1301547e-10,79,1.2749735e-10,62,1.232638e-15,47,9.2136176e-10,21,1.1248166e-12,64,3.786853e-11,42,6.6666743e-09,52,2.634472e-10,25,2.1500846e-08,49,6.5116926e-11,48,1.2448417e-10,4,1.4886073e-10,74,1.1209407e-10,36,5.910372e-11,30,3.321246e-11,90,2.6910557e-11
9,8.42769e-23,14,6.9478873e-16,27,4.8093504e-12,55,3.4843124e-13,91,1.5126643e-21,10,1.8295706e-12,71,1.1078898e-08,15,4.677042e-14,26,9.304855e-16,13,1.5548045e-15,52,1.033776e-15,3,3.6014804e-12,67,2.8756567e-17,66,1.632062e-16,20,7.111026e-16,12,1.3283429e-14,84,1.6305737e-10,29,1.869041e-12,16,7.814198e-20,54,9.136673e-20,61,8.096208e-07,34,2.3666227e-18,70,2.0490328e-11,4,5.9388e-07,90,8.178983e-13,74,4.1063333e-12,95,1.8287605e-12,18,5.1983033e-19,57,7.832286e-14,40,1.2702199e-10,64,9.009114e-09,15,3.730108e-11,6,8.2335327e-13,55,1.2574873e-11,38,5.1287196e-07,76,1.6600327e-12,19,4.024238e-15,29,5.3681198e-14,23,1.8917675e-11,4,2.4535097e-14,8,2.9054527e-16,48,1.675681e-13,30,1.1222949e-14,78,7.979618e-14,90,1.5012014e-11,42,4.4109405e-09,6,5.967714e-15,54,5.525382e-10,71,4.1233083e-08,59,1.0008021e-10,36,1.3850224e-08,3,1.41994875e-14,43,7.667207e-11,4,9.3575e-15,20,7.017089e-18,27,2.8617519e-12,2,6.044735e-10,94,1.5988254e-08,6,2.7359907e-13,51,7.751692e-08,29,3.5277787e-13,67,7.96833e-11,4,6.527849e-13,9,1.6997445e-08,3,8.6277565e-12,13,9.685235e-16,34,3.025119e-14,94,2.2384496e-13,84,1.192145e-11,90,1.5399196e-11,66,3.4013176e-15,54,6.803967e-11,65,5.69264e-13,43,1.8837568e-13,13,4.509022e-15,69,2.2629134e-09,68,6.9372623e-09,55,1.0540308e-14,54,1.2731115e-12,31,8.471074e-11,50,5.195505e-11,28,4.821428e-17,70,4.1056553e-10,56,4.1230317e-13,21,3.7505437e-12,19,1.9785482e-09,85,7.2062446e-11,6,7.420466e-09,71,6.104744e-11,70,4.932136e-11,29,3.4723082e-11,95,4.440928e-11,44,3.8515986e-11,59,1.6170322e-11,84,6.9618714e-13
35,2.0410072e-23,34,3.574202e-16,94,2.3813913e-12,49,2.9687846e-13,75,1.3357467e-21,7,4.9826576e-13,12,6.230852e-09,42,8.794861e-15,66,7.5659476e-16,28,2.6435898e-16,48,2.3560584e-16,70,1.526722e-14,12,1.0392792e-17,10,3.5975766e-17,62,1.6934877e-16,70,7.21409e-15,44,1.4253373e-10,24,1.3685441e-12,28,4.4210513e-20,66,6.77624e-20,49,7.9410444e-07,59,1.2107369e-18,89,7.842211e-12,31,4.9748843e-07,89,3.4473428e-13,18,3.3377634e-12,17,4.4911286e-13,1,3.9868025e-19,61,4.205326e-14,29,4.3866483e-11,8,6.934814e-09,62,1.4861105e-11,48,3.273847e-14,29,1.8045952e-12,4,2.4621434e-07,6,8.9755194e-13,42,1.7944103e-15,13,1.1811237e-14,16,1.6507401e-11,52,2.056501e-14,16,6.361771e-17,1,4.127879e-14,44,9.450558e-16,13,4.9671266e-15,53,6.7869976e-12,1,2.8513685e-09,52,4.478366e-15,56,4.132451e-10,16,2.049378e-08,15,3.4857398e-11,63,1.0396514e-08,77,1.2990676e-14,81,6.1950514e-11,15,3.0035619e-15,21,3.2983668e-18,17,2.5475e-12,61,6.2477086e-11,81,5.151471e-09,16,1.9338864e-13,26,5.3584724e-08,15,1.764501e-13,66,6.8328426e-11,31,5.523683e-14,62,5.725829e-09,79,1.2749824e-12,28,1.5196025e-16,13,6.8734403e-15,25,1.1336102e-13,88,1.1919313e-11,42,1.1944739e-11,89,2.928989e-15,11,4.511125e-11,72,4.006121e-13,21,1.1378001e-13,26,3.5615863e-15,61,5.801719e-10,37,4.411965e-09,56,9.388272e-15,78,1.1960803e-12,1,8.061549e-12,23,4.425984e-11,8,4.2888554e-17,30,3.614426e-11,49,2.8525107e-13,54,3.2786718e-12,8,1.2068975e-09,19,1.2114976e-11,94,5.1333346e-09,40,2.9569246e-11,42,1.5617526e-11,92,1.4326304e-11,88,2.2248505e-11,48,3.4427787e-11,71,1.1321587e-11,6,4.1252524e-13
10,1.4418683e-23,66,9.596231e-17,23,1.5386244e-12,16,6.139008e-14,9,6.6249493e-22,25,4.1896366e-13,52,3.0213472e-09,80,2.3605131e-15,12,1.6403256e-16,5,5.0403774e-17,6,5.3716537e-17,90,2.4629106e-16,61,4.6763105e-18,92,1.4736909e-17,65,8.45483e-17,43,3.9768167e-15,94,1.08016145e-10,23,1.063386e-13,33,3.3114782e-21,8,4.6975756e-22,36,5.215275e-07,61,9.85111e-19,41,3.4631419e-12,62,4.5478373e-07,40,1.7329699e-13,12,3.1498948e-12,73,2.3003152e-13,21,1.2176188e-19,15,2.1365198e-14,49,3.0861216e-11,54,4.0544186e-09,40,2.6425403e-12,14,1.8718604e-15,49,8.0890036e-13,28,2.0683163e-07,11,2.9194206e-13,40,3.362516e-16,43,9.3858256e-15,86,5.0509592e-12,74,2.0010838e-14,22,5.855866e-17,9,3.316243e-14,2,2.359908e-16,30,4.1630966e-15,9,6.7828044e-12,4,2.247896e-09,7,3.9625607e-15,93,2.82077e-10,88,1.5567043e-08,30,1.389979e-11,62,7.795054e-09,49,9.5057044e-15,84,5.324947e-11,28,1.7345517e-16,34,5.324711e-19,70,5.9490054e-13,66,5.1409998e-11,75,2.3142037e-09,19,2.2586566e-14,61,8.519622e-09,4,1.6205997e-13,20,4.172095e-11,6,1.857192e-14,86,5.3423763e-09,9,1.1803631e-12,14,3.5516664e-17,5,3.8987322e-16,27,1.1326917e-13,21,4.0042904e-12,79,1.1812177e-11,49,5.105026e-16,15,1.8733425e-11,48,3.1389632e-13,13,4.3498093e-14,33,1.3767854e-15,21,5.3457316e-10,16,2.1832105e-09,68,8.149456e-15,41,3.2418323e-13,46,7.863516e-12,58,3.4675998e-11,3,3.947132e-17,44,1.2134182e-11,17,7.691705e-14,48,3.6544132e-13,4,5.648517e-10,59,3.4036298e-12,24,9.187969e-10,7,5.4990188e-12,41,3.8730334e-12,12,3.544819e-12,2,1.5315349e-12,55,2.8296955e-11,47,1.0182051e-11,78,1.2215663e-13
26,1.2019031e-23,40,5.3179703e-17,79,8.250269e-13,85,1.3001976e-14,70,6.4183783e-22,78,3.623858e-13,88,1.7659266e-09,9,1.9142214e-15,5,2.0172416e-17,40,2.9156115e-17,78,1.04684694e-17,26,2.2666816e-16,38,2.1075691e-18,34,3.0916529e-18,26,1.1758889e-17,75,2.284112e-15,95,4.3816874e-11,89,6.06513e-14,59,5.4531453e-22,5,2.8150716e-23,5,2.2594493e-07,20,5.1597397e-19,10,1.3955257e-12,76,3.930079e-07,27,1.3916945e-13,28,2.2220771e-12,25,1.3809625e-13,29,8.63823e-20,32,9.571196e-15,17,1.6791792e-11,39,2.368709e-09,26,1.76308e-12,5,1.4523999e-15,91,4.3069495e-13,26,1.1049425e-07,64,2.1817459e-13,44,4.221385e-17,14,6.664845e-15,36,2.8974804e-12,13,4.1256514e-15,23,5.1596287e-17,8,3.1483432e-14,47,6.9537435e-17,40,4.041358e-15,30,5.187717e-12,26,2.2269893e-09,12,3.0141204e-15,39,1.6451744e-10,91,4.337885e-09,16,3.6373853e-12,54,6.3730567e-09,90,4.9581666e-15,12,3.137111e-11,37,5.6012495e-17,54,5.1732646e-19,73,4.2795907e-13,88,1.10777195e-11,41,1.4465572e-09,82,2.0529795e-14,64,6.5879258e-09,13,1.5659979e-13,79,6.9813196e-12,39,1.24362e-14,16,5.1270135e-09,14,2.1871201e-13,19,2.6353599e-17,82,1.3570634e-16,83,9.525493e-14,92,1.1909397e-12,19,1.05436875e-11,95,1.140607e-16,70,8.298439e-13,90,2.1509416e-13,75,3.6401668e-14,59,7.8313215e-16,26,3.3807834e-10,42,1.3687977e-09,41,3.2072507e-15,48,3.159381e-13,16,7.694497e-12,72,2.1855033e-11,41,1.7930655e-17,90,9.061409e-12,68,4.4398475e-14,44,1.9012877e-13,39,2.7723057e-10,56,1.3190014e-12,12,7.994775e-10,14,4.301403e-12,73,1.4792239e-12,16,1.9946586e-12,34,6.7787063e-13,81,6.4808918e-12,44,6.735588e-12,25,1.0757136e-13
86,8.399443e-24,3,1.644353e-18,10,1.9705701e-13,91,5.9288185e-15,11,9.7807696e-23,33,5.1897658e-14,5,6.110578e-10,62,9.15166e-16,75,6.350487e-18,29,1.2433993e-18,56,1.1754755e-18,2,2.2219074e-16,54,2.2907128e-19,33,1.4444148e-18,3,1.0201385e-17,19,2.0326707e-15,7,3.676528e-12,82,5.9978513e-15,70,4.3143033e-22,65,2.1114337e-23,2,1.9650946e-07,5,1.3613038e-19,82,8.333001e-13,29,1.8065464e-07,32,1.1769151e-13,94,1.8011344e-12,14,7.192225e-15,19,2.3457495e-20,74,1.526214e-15,68,5.125908e-12,38,1.6926751e-09,88,9.55784e-13,30,2.8595742e-16,38,3.2073384e-13,80,9.28356e-08,33,1.9972541e-13,63,2.3096186e-17,25,4.2075883e-15,10,2.6586138e-12,10,7.023804e-16,66,3.0819176e-18,31,1.9095775e-14,21,6.485979e-17,71,2.2996767e-15,14,2.9411378e-12,9,2.203329e-09,91,3.5289873e-16,77,4.351818e-11,52,3.3784515e-09,83,2.6556044e-13,4,3.2522276e-09,41,2.4815374e-15,6,3.0222692e-11,2,4.8431867e-18,87,1.440949e-19,90,1.7401281e-13,52,5.265151e-12,70,2.4678154e-10,65,3.5755527e-16,7,5.247266e-09,7,1.3555632e-13,26,2.1631366e-12,80,1.0809334e-14,55,3.8618655e-09,19,2.0944376e-13,9,5.373702e-18,10,3.914376e-18,3,6.9540483e-14,91,3.2497805e-13,65,2.5388053e-12,74,1.0660054e-16,16,5.803451e-13,15,5.902517e-14,2,1.8281195e-14,50,4.1725163e-16,19,2.9935748e-10,41,4.8763005e-10,19,2.8112564e-15,30,1.3834284e-13,39,1.1525011e-12,21,1.853663e-11,13,5.0518825e-19,15,8.172619e-12,6,2.233654e-14,45,1.5873433e-13,20,1.4167331e-10,20,2.769707e-13,30,2.5323488e-10,18,2.883146e-13,79,1.117382e-12,94,1.3440552e-13,40,3.8057605e-13,83,4.4308945e-12,70,4.786991e-12,21,8.9930335e-14
6,6.689343e-24,1,1.5025321e-19,33,9.31492e-14,29,4.8345324e-15,55,8.88154e-23,22,3.9867283e-14,30,5.250085e-10,65,8.607755e-16,22,4.119199e-18,14,1.309264e-19,4,8.490793e-19,25,9.5907066e-17,19,2.0216625e-19,7,6.03384e-19,27,5.2303685e-19,13,8.14245e-16,89,1.2398138e-12,3,4.7815577e-15,82,3.3566902e-22,40,1.26168946e-23,80,1.5780903e-07,41,6.4528036e-20,16,6.8906664e-13,6,1.6465302e-07,50,1.709059e-14,49,3.6982456e-13,54,3.74134e-15,52,1.8696738e-20,69,9.245628e-16,14,3.147817e-12,46,1.149405e-09,57,8.497304e-13,68,2.3387646e-16,22,2.8653005e-13,34,3.268304e-08,16,7.919232e-14,22,1.8693377e-17,23,3.4977516e-16,11,2.0899404e-12,95,2.4246503e-16,71,1.725564e-18,70,1.3982499e-14,25,4.996628e-17,68,4.0786344e-16,56,1.6263647e-12,69,6.583997e-10,55,1.8446388e-16,59,1.8784566e-11,12,6.690154e-10,79,1.8768162e-13,88,2.5786733e-09,30,1.767963e-15,75,7.319669e-12,52,3.4709483e-18,41,8.26707e-20,55,1.4364447e-13,18,5.118572e-12,66,1.3527464e-10,2,1.6429686e-17,28,4.4881134e-09,88,5.9006395e-14,10,1.1532417e-12,10,3.1799849e-15,79,1.2046828e-09,33,1.0704729e-13,71,3.0447197e-19,55,2.9113817e-18,74,4.0645472e-14,13,3.1863406e-13,15,8.669292e-13,92,3.2983274e-17,9,3.137572e-13,71,3.238405e-14,57,1.4113982e-14,2,2.9616142e-16,80,2.3606805e-10,83,4.5372167e-10,74,2.5679324e-15,16,9.2422e-14,35,4.582636e-13,7,1.1440079e-11,18,3.012753e-19,59,5.977209e-12,34,1.27653405e-14,70,1.549854e-13,85,2.6468047e-11,77,8.386729e-15,34,1.1653196e-10,21,1.9357561e-13,17,7.4063645e-13,61,4.4667452e-15,12,2.7879142e-13,3,2.4066385e-12,3,1.6966881e-12,94,8.0219306e-14
31,2.1711154e-24,71,1.1671864e-19,92,9.102109e-14,56,1.991413e-15,36,7.7012716e-23,19,3.7224925e-15,75,2.6665115e-10,23,5.07133e-16,43,5.1905335e-19,12,2.6201518e-20,20,6.3098454e-19,45,1.690666e-17,14,5.1961803e-20,70,1.1382274e-19,75,1.7655736e-19,68,5.285937e-16,3,4.970979e-14,13,3.4469578e-15,63,6.068305e-24,38,3.1818592e-24,31,1.453924e-07,63,4.870757e-20,50,9.129289e-14,28,9.818575e-08,53,4.9453807e-15,21,2.9815422e-13,6,3.0228795e-15,26,2.598647e-21,71,2.929689e-17,52,3.5075515e-13,5,7.281647e-10,13,2.7206972e-13,37,9.557715e-17,24,2.2512706e-13,8,2.4456858e-08,26,4.5705542e-14,6,6.5326457e-18,66,1.5656168e-16,84,1.1190998e-12,41,7.865833e-17,90,1.2211879e-18,65,8.701525e-15,49,1.1676415e-17,56,1.8576015e-16,10,1.5229375e-12,5,4.7492726e-10,11,1.0275189e-16,79,1.7271979e-11,94,6.5123684e-10,23,1.5012854e-13,49,6.6318584e-10,17,8.2053733e-16,91,4.1932508e-12,13,3.2216706e-18,13,1.4911525e-21,63,5.72551e-14,24,2.4073276e-12,15,1.0775042e-10,23,1.1447738e-17,88,2.538627e-09,22,4.2711918e-14,71,4.287312e-13,93,2.4740818e-15,51,9.1503854e-10,11,5.741184e-14,73,1.789639e-19,69,1.23293e-19,59,3.1524222e-14,40,3.011466e-13,5,8.582686e-13,34,5.319165e-18,82,3.1113745e-13,56,2.5676301e-14,90,9.7530575e-15,29,1.3835925e-16,20,1.4576251e-10,11,1.1481775e-10,21,8.966825e-16,12,6.934642e-14,54,2.8287946e-13,89,1.040785e-11,22,1.3583375e-19,78,5.522619e-12,5,1.2227934e-14,78,6.3134495e-14,2,1.8318708e-11,37,2.1678953e-15,38,1.1604247e-10,6,1.5414422e-13,10,4.632186e-13,28,2.6458228e-15,91,2.7222105e-13,33,1.3311726e-12,23,1.1552854e-12,92,5.2631788e-14
41,3.2460016e-25,61,3.0396e-20,6,6.926038e-14,43,1.6469388e-15,42,2.6434775e-23,59,1.6542045e-15,95,2.3124759e-10,10,4.2120018e-16,31,2.2385436e-19,37,8.87576e-22,5,5.8066935e-20,19,1.0250419e-17,7,4.1438466e-20,82,3.255011e-20,19,1.5363227e-19,49,3.4290395e-16,23,1.1311339e-14,67,4.7532027e-16,54,2.6449537e-25,3,5.364075e-25,26,9.625857e-08,29,2.2211995e-20,53,5.4950883e-14,34,9.6795254e-08,57,3.3779157e-15,5,1.466371e-13,56,2.6609333e-15,54,2.2115003e-21,22,2.0243573e-17,21,1.3874561e-13,4,5.647109e-10,27,1.5362692e-13,65,5.881199e-17,16,8.425085e-14,51,1.962628e-08,10,4.439474e-14,73,3.9896112e-18,8,1.490353e-16,53,8.7486366e-13,30,1.9785257e-17,55,1.0683579e-18,46,4.8627145e-15,3,2.3043153e-18,95,9.8644054e-17,37,8.5460507e-13,13,4.0064116e-10,42,1.8344279e-17,52,1.1901044e-11,40,2.4104937e-10,33,1.3176394e-13,84,5.515692e-10,55,7.8063e-16,26,3.8389556e-12,71,2.8021984e-18,86,8.436131e-22,42,2.8905714e-14,12,1.0321902e-12,32,9.894677e-11,22,1.2029704e-18,62,1.5590824e-09,23,3.644874e-14,13,2.8431982e-13,28,1.02118e-15,33,4.5187581e-10,48,8.566253e-15,11,5.6714475e-20,61,2.3250882e-20,44,3.0469242e-14,71,9.463427e-14,56,7.0523464e-13,26,2.7935347e-18,59,1.73652e-13,19,1.4757659e-14,25,3.2238572e-15,78,4.0321243e-17,6,5.9083042e-12,39,1.1402923e-10,59,2.559306e-16,66,2.547135e-14,77,2.2958228e-13,63,2.7335484e-12,40,1.0308961e-19,3,2.3617594e-12,81,1.0135341e-14,3,4.917731e-16,5,1.29808456e-11,72,6.12029e-16,18,7.73688e-11,29,1.3837073e-13,37,2.1611998e-13,53,6.774847e-16,38,1.5446211e-13,53,7.9152077e-13,15,7.2877116e-13,75,5.520244e-15
